ID,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N1,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N2,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N3,Intensity_L_5_Pulse_SILAC_DCAF9_24H_N4,Intensity_L__Pulse_SILAC_BirA_JR_24H_N1,Intensity_L_5_Pulse_SILAC_BirA_JR_24H_N2,Intensity_L_5_Pulse_SILAC_BirA_JR_24H_N3,Intensity_L_5_Pulse_SILAC_BirA_JR_24H_N4
protein_128,26.4215768447743,27.0258537409588,25.4002163925413,26.9178367499646,26.8232929400412,26.5734596614722,26.2638472387239,26.999697562373
protein_130,26.9351116527469,27.1732156112439,27.3321174362142,27.5812777055943,27.1164799881903,27.2873967681831,26.9898332598127,27.1115837186931
protein_131,26.1218169353988,26.0226732109837,25.3836868888688,26.2100493932294,25.1156793509009,26.9611930884033,25.5244104254704,24.0545473946335
protein_132,23.6127092731451,24.4050509353186,23.9627262931257,25.5183275724785,4.6722463010592,4.64169280790143,4.67720231109215,4.70373310701696
protein_133,27.3228226765434,27.2629115364366,27.2045840084231,27.1075824637896,26.2792599328676,27.5132429812006,28.2166315165108,27.7309757837037
protein_134,28.3724318485091,28.0951578643523,27.7780987666967,28.0139749047962,28.2579137931069,27.9619294704053,28.5276602405271,29.0263939775978
protein_137,26.4154713864295,25.95625664705,26.5569154247707,25.8003249757037,25.5564074491561,25.8877403076214,25.8785186541622,24.7852195294221
protein_138,24.1440326123782,24.9358110092936,25.2729057148208,24.9289016384549,23.9371399165125,23.7246813190757,23.8624428781764,24.2074782746361
protein_146,27.6424533895786,27.6526484515164,28.1216812554947,27.4616809413389,27.2444644052543,27.2421211112038,26.8422413002618,27.4520884761342
protein_148,26.7820016523274,26.4973553474485,26.0345684252762,26.936329760902,27.943357511925,26.3522959457007,26.8019039486622,25.9776587808743
protein_149,25.0899414089357,26.0402587188038,25.963626901461,26.5581959193123,26.2230680011238,25.5696255444552,26.5664848470295,27.0916450788333
protein_153,30.4975188272296,30.6391121210489,30.9665665183881,30.9924165056697,30.4543110059104,30.5075044767111,30.164725632802,30.7004837698681
protein_154,26.3639143046843,26.5091024551663,26.8194348833134,26.4990320624976,27.3693455125036,26.8730119126318,27.1763757440465,26.7708524757223
protein_155,26.934953575166,27.5605752113675,28.0400285631912,27.8188402230676,27.3865591981313,28.0670135445443,28.0333672207019,26.9832741637439
protein_156,30.0533099515219,30.3596825689366,29.7274175728707,29.8349612227023,29.3196468264167,29.8850716949508,29.0360854984149,29.8167056577296
protein_157,28.6902742856846,27.8167816584011,28.9905949298097,27.8985734412706,29.2892784253786,29.458948478668,28.7513493887755,28.0507585259971
protein_158,26.6636433764509,25.8304054129331,25.8697581978132,26.4535777403857,25.642643371265,24.9443206563229,26.9869844012153,26.6560679973628
protein_159,27.4276565737817,26.5672139052695,26.2849511210944,26.235030073091,27.4425992134262,26.9745854141754,27.3340387610291,27.7947403262328
protein_160,29.6181689242007,24.6394719902673,25.2325103884859,26.7448327594604,24.1727960416111,24.0543270449181,24.1496801281006,30.0693627063418
protein_161,4.69036942081416,4.71041722824843,4.74197348520351,4.70063224572068,24.10182401263,24.8892762252904,24.8910148989134,24.9291190161666
protein_163,31.2148162073538,31.7705471166106,31.038348061258,28.6667125921857,31.027398116885,30.6586835141219,30.8978116399191,30.5942013605417
protein_165,32.7068835930531,32.8730647010166,32.711175460595,32.5268469382376,32.8581946128805,32.7166079146528,32.4946767314744,32.3578812138092
protein_168,26.3941264840311,26.5471300069865,26.2764489010019,26.7736938785299,27.030076259771,25.9745464928966,26.9762085464119,26.7621152612126
protein_169,26.6037476666906,26.5742912913617,24.3867552088468,26.277312302344,25.4835096250315,25.3480359572487,26.4780675267229,26.4687009909141
protein_171,28.7784379740043,29.1036491233136,28.9485339459585,28.9515250510154,28.6593070028094,28.5191922475318,28.9453763586252,29.0172718279832
protein_174,28.6571417243324,28.2190605558658,28.4852925494908,27.9850154987491,28.0162931678961,28.5263787881251,27.9584815069635,27.4486273908096
protein_175,30.2226482489478,30.4014137384191,30.5110913521751,30.2283130968821,30.2248646683477,30.0315122650685,29.6894034480183,30.5551727448938
protein_179,24.2865848776747,25.3153242551261,23.6209755529274,24.6728997588705,23.6492795991666,24.637974285844,24.9532279669989,24.6987331470253
protein_180,28.9466831877607,28.8847444830874,29.5699587694043,29.1133380777159,29.451818705266,29.3268044491337,28.9315846701579,29.4978387931509
protein_182,24.2860396508134,24.3075623208713,25.0870466492446,24.0499552353276,24.4773315540762,24.1581822927039,24.3724150371038,24.1486430941717
protein_190,30.7432792717367,30.8681019081047,31.050647299528,31.0234018690774,29.6312607774501,30.049753145989,30.5687141822011,30.1198453793284
protein_192,27.0648055903597,24.0456103646796,25.8660294820646,26.1301587649671,27.0460663934342,23.9124934374171,25.6843847267163,24.1709784027213
protein_196,31.3067552744643,31.5857583015853,31.3013038910704,31.1779124965808,31.4801499029798,31.4840716873128,31.1290669645003,30.9547292176367
protein_201,27.3528338242137,27.6257453680742,26.8186445499142,27.2279815502458,28.119169732389,27.8519794672243,28.0977765011378,28.2328135300441
protein_203,24.9574780066769,25.3937371483108,25.206698980576,25.396938937659,24.6632907555941,24.4545390668294,24.8847623002773,25.4139577565991
protein_204,28.391248805172,28.9926297834481,28.0770942971721,28.1849018668334,28.9967574779681,28.8289415581455,28.3577784820984,29.1754421564564
protein_206,26.9061330439459,24.8577597827945,27.2113453454324,26.3365769530543,26.5434832284095,26.2717707926666,26.7936801725984,26.9989089889503
protein_207,32.4524681037999,32.8238198754912,32.759353777533,32.70077887621,32.8781157361666,32.624384223306,32.4311546167687,33.0792218988685
protein_210,26.4465199783255,25.9811594877198,25.990750860317,26.3680149561403,25.663938534838,26.2143565010951,25.9424209538217,26.3534990344826
protein_214,32.0713105181629,32.4181178684743,32.6552995274822,32.2729053771591,32.2758388793751,32.1087669006963,32.0570401965562,32.4180044476241
protein_218,29.1782642471975,29.4441007967136,29.2517438419577,29.0508075595291,29.1616200600146,29.1284749303277,28.7521392033663,29.1164996522125
protein_223,26.0209017132988,25.413906481831,25.0344675833483,23.0789308919913,25.6011981740865,26.1099909999462,25.8445575436404,23.9246652265003
protein_224,28.9577736871476,29.3687487444067,28.7716096462629,29.2891258475859,29.115125221416,28.2055289097087,28.8138450682403,28.1715983619248
protein_228,26.8023345426134,25.5577813203159,25.7803405304388,25.3022642525692,24.7965801542068,26.0029313271311,25.1242820408169,25.9153380497167
protein_230,23.4789325846914,25.2998217940292,25.6362069626632,25.1245995385493,25.1716240724212,25.0554314582315,25.4250448044402,24.970758059655
protein_231,25.1966172492664,25.0492381775069,24.4642936464417,25.5361223956839,23.6402489434687,23.7029511856105,23.6469085959576,23.4995003909053
protein_234,29.1365839996741,29.0908934196844,29.2143418986503,29.1838765965477,29.1991300482949,28.9295944371577,29.3499411753054,29.1384035985742
protein_236,29.2475561238299,28.1328553305959,28.2914216594815,28.3914479849526,28.2483569205419,28.7603594113136,28.4073484585501,26.9928111767878
protein_237,28.156634432966,28.2225299012443,28.3802986280357,28.2597624918106,27.9341502695494,27.6976675523381,28.3558962118421,27.1503485516508
protein_238,25.9858652654464,25.9334974803676,26.9943326183076,26.1115092355141,26.2559043605721,25.6438245147121,26.3911192877904,26.6875904382967
protein_241,25.7721957608963,25.7711637340871,25.738486749587,25.7594994836066,25.1085018432965,24.9345098934275,24.673419294449,25.4889805763787
protein_245,27.2876004327763,26.4288096098035,27.8196104541763,27.6702222063271,27.4640328205609,26.3574540668301,27.8635488154026,26.9740176625597
protein_246,24.1212613047195,24.0727040255619,24.4968575271886,25.3828418815274,24.5364257099771,23.7329880756745,24.927901986148,24.6105705715673
protein_247,26.7545868270021,25.3926736472917,26.786341516758,25.9570495253864,26.5559608202677,26.9961221794941,26.6871337614161,27.2478265968553
protein_249,26.6222243752591,25.907319610971,25.9122053156554,25.57118087339,26.3784359292385,26.6058582961695,25.8288268505526,24.1933671417941
protein_250,29.7613335201433,29.7469921115506,29.413489161732,29.2358877366609,29.66065453461,29.0297573748864,29.4768735392006,29.6976574540656
protein_251,27.9027422650086,28.0248244504556,28.3541753706341,27.8296075467578,28.3847920314771,28.2152379437492,28.5245722234773,28.8226704452455
protein_252,26.5141079044256,27.1770406853766,26.3173076053318,26.9202266786216,26.4684892544201,26.4883799618546,25.4162268790433,26.6008763303556
protein_257,22.966167471327,22.8852862583499,23.6347442549984,22.2484921843048,22.6909215093454,23.1653610852947,23.08833170637,22.332996154489
protein_258,29.5592649796653,29.442952127206,29.4453644829086,29.5361710884979,29.8902595154104,29.5689715699845,29.4741834488428,28.8369554552764
protein_259,28.6672639312208,28.2234746401861,28.2995216857284,28.2304512486288,28.8958401201793,28.1719783007903,28.9371302001724,28.6436888928945
protein_261,25.2830123747161,24.5733282352509,25.5621714055224,24.5304628475148,25.7629197272842,25.9329283530069,25.6337061909471,25.8537873479289
protein_262,26.9769408609231,26.8826129558827,26.1242420849163,27.1012773129031,26.2010460227291,25.3259352316929,27.103667591588,26.7807173204734
protein_264,29.2943782641702,27.498968780264,27.7976453675333,26.6679130411541,28.6598916290074,27.5139126627987,29.0956000211375,28.1965247245288
protein_266,27.6757082589453,27.2650236041528,27.3321310394382,26.756493311152,26.5104407920387,25.5755653736232,26.5734278933054,26.6520609060907
protein_267,25.8340622399471,25.0249508941135,26.4396263001757,25.0970849236729,25.4816001905539,25.197697689836,24.9050382127951,25.9165515549223
protein_269,24.2572483835232,25.0356045133301,24.6344445884566,23.7288453813399,25.452621208786,24.9856547151025,23.3752887281119,23.8449573088178
protein_270,26.3570874736073,25.6738845632773,25.0064650713008,25.6247815767289,26.3675809810533,25.3383291254619,25.7809657262124,25.2661441476436
protein_271,25.4656652781939,24.9690434705979,25.2679954467545,24.9412508737922,25.9151985332993,24.8552596436542,24.5767754739881,25.9537674393097
protein_272,30.8730683804087,31.2208356952473,30.823927159136,31.0606071185363,31.2513987388153,31.0516568564577,31.0017125060314,30.8537508437351
protein_275,25.4127268297928,24.5247718368892,24.5886487043104,24.313444276731,23.608834997092,23.6758608776187,23.6600993083282,24.0286420742807
protein_279,29.5512949787725,30.6412199132131,30.6209881450575,30.3869461721716,30.7619579487014,30.146314777323,29.2930406581178,29.6614172620782
protein_280,29.6857249688573,30.3819600378635,30.3399910113386,30.0685068595668,30.316910454577,29.9832435748578,29.7808931639476,29.9837012703856
protein_281,26.9932021281312,24.9998801938089,27.3517897811159,26.6668816046733,26.3588698372941,26.3683671819174,27.4520549581789,26.3041766865042
protein_282,24.4935609606935,25.0189533378782,25.5053136383039,25.056759771293,26.4342547914891,24.4934684545944,25.8239331444824,26.1673778488105
protein_285,29.4295091699602,29.9681325329899,29.7440860066504,30.2126779147414,29.0834200460633,29.3056310151274,29.1655781142249,29.6917093352617
protein_286,28.9586098235813,28.947173143478,29.4062495553607,29.0221334281834,29.7665493481969,29.4789618882852,29.6848863511197,29.5927275188086
protein_287,27.6061819248396,27.0787723724864,26.941425407692,27.6915397391277,28.424172768491,28.4013365962873,28.2946001453306,27.781176036622
protein_294,26.2080701887306,24.6858153154516,25.8589790655706,27.2843795647352,27.8463618252577,27.5330012236273,26.6872370064901,25.8801131658136
protein_296,30.2908620894153,31.0749303061921,30.9565559344401,30.9971998054532,30.6487102912148,31.3702026908716,30.3268333686336,30.2889353961409
protein_297,27.9164980274213,27.6189404717365,28.1914036607003,27.736307423212,28.3309894386305,27.8474702955487,28.1226873502542,27.6517025882683
protein_298,24.7042588614241,24.0998471018693,24.7349538447936,23.7448438551085,23.6704777469176,25.3592885986789,24.4201581340233,24.9103104080627
protein_299,23.4511699088122,24.171865624835,24.4236910178251,24.2359416984361,23.8542502450274,23.3341793127053,24.6293925564946,24.2920132291463
protein_301,31.094451205158,31.1269770539616,31.086229024921,31.1197208299448,31.4263792285191,31.469473297406,31.4914100627011,30.0013859125258
protein_302,29.6685955327508,29.4084751984343,29.4311675211956,29.5066808767727,29.9581158545403,30.3409695464735,29.4762612373941,28.9118792123574
protein_305,27.1573459965025,27.3553794387602,27.9780655653774,27.5658101129856,26.9403127797905,27.1715539412729,27.06692351462,27.676501906964
protein_315,27.3906725799613,27.3686775792795,27.91208697162,27.8969817735656,27.3948555197154,26.892506686923,27.2903244847825,28.0414887776892
protein_316,23.4724122127459,25.3956941792654,23.9161100356554,24.1027772832578,4.6722463010592,4.64169280790143,4.67720231109215,4.70373310701696
protein_317,25.2754662170557,25.53391377019,25.5805906659475,25.1532763775269,25.6369006123599,25.2278893247073,25.1717196035465,25.5572977198938
protein_319,28.5768734905653,29.5386342101006,29.5924383005802,29.3976787785366,29.4555274830722,29.5717079108355,28.6452847365124,29.8058936156026
protein_320,27.5229691770511,27.4582153261865,27.6827300344865,27.2672328883034,27.3875008026731,27.0885723948795,27.8575978501391,27.8787053896284
protein_321,28.9346373680325,29.2583478017574,29.6391113567551,29.2108793279661,28.8877938666909,29.1249504738557,29.0575494517695,29.5980188784474
protein_323,30.4367144405537,30.7798758589364,30.2600421285357,30.3901824274759,30.320407150856,30.1291525649627,30.4055768664754,30.2455489565334
protein_324,23.701101937602,24.1477457116962,24.0740166615873,23.9823732647962,24.4649549460604,24.829194484575,23.6590890176421,24.0403395468704
protein_325,29.8183627374354,30.0575529863812,30.3717181641942,30.0704750544557,29.9509678876097,29.9686621818945,29.9747924506069,30.21386120257
protein_327,26.5797832476782,27.466618233275,27.3285782338609,26.7305145169255,26.6314263855592,26.0196828841654,26.4527838988466,27.4831118692815
protein_328,25.0473484686635,24.6909244665758,26.0225184720959,27.0476343627481,26.1496539927872,26.2493616527932,25.708776744883,25.9748887029833
protein_329,28.3611521527143,28.7532202893099,28.4239681897073,28.7424401710737,28.4788711911388,27.9528210506762,28.823881493971,29.4469350312983
protein_331,27.8278863572395,26.2963839927588,28.1795968365209,27.8202805177372,28.4467458666035,25.7143700070613,27.6969604760413,28.6250465385955
protein_333,25.3542767440919,26.4354566048881,26.1462815619746,26.4726523699,26.3974753700459,25.550692266938,25.3407621093051,25.9491792811585
protein_334,28.2778488889691,28.6329331662766,28.5495070910182,28.5227674100553,27.4958888330981,27.8334820984531,28.3930511366889,28.550048462674
protein_335,26.9251983641412,27.1303054206749,27.1605518299547,27.1367759941245,26.2659748536869,26.6240857345421,26.9950137989445,26.9460307340032
protein_336,27.7585225093857,28.1117147162635,28.609716292012,28.3384880371322,28.0725566749626,27.8240922096233,27.8356428188327,24.9434293427263
protein_338,26.8866489365466,25.1677125317544,23.6130290260528,26.1142255366994,25.5273698913777,26.8485856377309,26.2411007897126,23.7584723921441
protein_342,26.2334859303403,24.1016294765823,24.3983525362628,23.4390554628763,25.5557374539626,23.4339091121408,26.2674425699303,26.2988227739847
protein_343,25.837635050393,25.0372531030482,24.9414791884245,24.9460086615586,24.8577877090986,24.9106231338583,24.9652323971918,24.4108782192014
protein_345,26.558392997142,27.2160733958465,26.9133488120951,26.6197419179716,27.1772677145254,26.6986692807135,26.1892635734929,27.3424228303608
protein_347,24.2502521328357,24.3422475402693,25.1137327646161,24.5809567563779,24.2985888528032,24.0568291691624,24.2677739953949,24.5194331160538
protein_348,27.9675436683289,27.3464165126254,27.6266058510711,27.2320753296068,27.5561004066488,27.5914006050224,27.9989286229119,27.5631014977351
protein_349,26.8628321635848,26.7351391876176,26.2154431544166,26.2041528946182,25.2724627904792,26.4831913880665,27.0387177478899,26.4715947054568
protein_354,29.0713284966794,29.6479940731528,29.7511984801188,29.3926317568712,29.3205098666754,28.4665444575557,28.992112481956,29.4386925756457
protein_355,25.1921269005792,26.0961725811465,24.7782342741391,25.4234255822192,24.7265712162678,23.8660001424377,25.7418576138779,26.1193168038097
protein_356,27.2877242320677,27.6561917809567,28.2390011237185,28.0800588766992,27.3463704101319,27.7146030569028,27.2083819885409,27.9414958668404
protein_357,26.220834026974,24.5639108088208,24.6761842638773,25.3775034632574,26.4757681365094,25.3121408726402,25.3482249511616,23.5495946531615
protein_360,24.6395752955258,24.2967730247057,24.5955004223603,24.338298121038,21.970311357799,22.2811470560339,24.760347372643,24.3701297595307
protein_363,27.5764935240007,26.4633429198897,27.0833225581751,28.0369375254179,26.3039234202039,27.3057663732339,27.1374602026103,26.0472648284278
protein_364,25.8738581734088,24.752435054168,26.4309951573406,25.9668798925338,25.8037693072871,26.5287001000352,26.1129820993657,26.7856898797321
protein_369,26.1626209385431,26.055018798328,25.5390426612247,26.0735514938614,25.2909987419166,25.301630287809,25.3889626977476,25.4242651710371
protein_370,25.6345418084729,25.7755075850674,24.2427070223123,26.5205738100382,25.6374020383896,25.5935183275474,25.8787898935247,26.7196700856259
protein_371,24.7199039851366,25.5995895881539,25.8122768388195,25.8074756144728,26.4757828936508,26.0567004892318,25.629500017411,25.4044018261792
protein_374,27.8453178827406,27.360971009148,27.9750475110738,27.4039361448282,27.1221426596844,27.1452562039344,27.4474907155317,26.8780316194567
protein_375,25.7273895844657,23.9694489814726,23.9368898636511,25.4810137251304,25.6936293082898,24.4240240985871,26.3745451964098,26.0237326117341
protein_376,28.1728452281751,27.0432759205929,27.0377413433336,27.2648841779094,27.4604577355118,27.2243911671672,26.9547554367455,25.5167912775183
protein_379,26.0631431243855,25.7998375517218,26.2152652306276,25.5163937968821,25.6789115766928,25.5510577176632,25.7717842821534,26.2432677147232
protein_380,27.7490677629653,27.3523595925682,27.3633774316537,27.4667990644905,28.0003781158338,28.2346653062847,28.3219542922612,28.5024761200549
protein_383,27.440296665464,26.8859980230224,25.3935486766532,25.809475326229,27.5211341160147,27.3319024512076,27.3542065688083,27.4380278157948
protein_385,29.6726303820855,30.0129208649583,29.4965920112468,29.9809072383568,29.2352754413487,29.795787835963,29.7930566985089,29.7944644437388
protein_395,29.0713284966794,29.0610804676847,29.6367467924322,29.6278981956043,28.8250605760169,29.1043103919783,28.9604477306585,29.3847567355261
protein_396,25.2146485511996,25.2659256469154,25.1358039048061,25.2175016740602,25.5547039347163,24.6526573192881,25.1860523934036,25.5799221440875
protein_398,26.7347457373225,26.2157252818783,26.5459566334143,26.2712637472637,24.3786253628802,26.9029744305388,26.219704046176,25.1345161245178
protein_399,25.6997441944008,25.0026711335152,25.0776816340132,26.5877757065805,26.1119811277129,26.3296828497711,25.5618525320248,26.0234726916558
protein_401,26.4385136341345,27.0578090189637,27.2131729807917,27.0568955351891,26.4801149604542,26.6228445997091,26.4174969996526,27.2280626880558
protein_402,27.1496016056001,26.9016449200365,26.7150521326064,26.2169428713159,27.545593769149,27.2606735729757,27.3275621530835,27.0507041718465
protein_407,27.2325215834487,27.4126920919943,27.6512299210646,27.8385588199278,28.0062136061438,27.5056538968469,27.7443703889486,27.1815610770281
protein_414,26.509550627045,25.9173185661886,27.0251598411221,26.2877151701819,26.4737302018698,26.3938396468618,26.5427166810965,24.754099454432
protein_421,28.3491015651739,28.1204831653398,28.0751347789885,28.1981952702399,27.604954174198,27.9933875755684,27.7098239922604,28.0735151205419
protein_423,28.5029808813587,28.5078493250346,28.802435397973,28.6581918805543,28.4619484310783,28.2510255452087,28.0196574751951,28.246118703809
protein_424,29.2787678476823,30.2031049775034,30.4022009435581,29.8442924474755,29.6612386151104,30.14469419636,29.7765327356873,29.6497123051488
protein_427,26.8419074038854,26.9427245907923,27.0879215106646,26.8994518958758,26.7960129270283,27.0307871692554,26.4944444333229,27.1235193235998
